question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Number of rain gauging stations in any basin depends on the,NA,D,extent of area,climatic conditions,topographic conditions,all of these,NA,NA,NA,NA,"Explanation:<br/>The number of rain gauging stations in any basin indeed depends on:<br/>Extent of Area:<br/>For larger basins or catchment areas, more rain gauges will be required to accurately measure and record rainfall across the entire area in order to capture the spatial variability.<br/><br/>Climatic Conditions:<br/>Different climates can require different numbers of rain gauges. For example, in areas with complex weather patterns or microclimates, a higher density of rain gauges might be required for accurate representation.<br/><br/>Topographic Conditions:<br/>The topography of an area could dramatically affect the distribution of rainfall. High terrain variance, mountain ranges, or steep valleys could all influence local weather patterns, necessitating more rain gauges to capture this variability.",NA
"In isohyet, the line joining points on a map where",NA,A,the amount of precipitation recorded in a given period is the same.,the amount of precipitation recorded in a given period is the different.,the amount of evaporation recorded in a given period is the same.,the amount of infiltration recorded in a given period is the different.,NA,NA,NA,NA,"Isohyets: It is a line joining points of equal rainfall for a given interval. Isohyets are contours of equal precipitation analogous to contour lines on a topographic map.<br/>In the isohyetal method, precipitation values are plotted at their respective stations on a suitable base map, and isohyets are drawn to create an isohyet map.",NA
Match the following with respect to types of precipitation: <br/>1. Sleet <br/>2. Glaze <br/> 3. Hail <br/><br/>a. It is ice coating formation when rain or drizzle comes in contact with cold object on the ground. <br/> b. It is a showery precipitation in the form of irregular pellets or lumps of ice of size more than 8 mm. <br/> c. They are frozen raindrops of transparent grains that are formed when rain falls through air at a sub-freezing temperature.,NA,A,"1 - c, 2 - a, 3 - b","1 - b, 2 - a, 3 - c","1 - a, 2 - c, 3 - b","1 - c, 2 - b, 3 - a",NA,NA,NA,NA,"Precipitation is the process of condensation of atmospheric water either in liquid or frozen form, which falls back to earth due to gravitational forces of attraction.<br/>In the process of precipitation, a part of the atmosphere saturates itself with water vapour, and at the right temperature, it condenses and precipitates onto the surface of the earth. Air becomes saturated by the cooling of molecules present in the air, and the addition of water vapour to these molecules results in the saturation of the air.<br/><br/>Forms of precipitaion:<br/><u>Raindrops :</u> Raindrops or rain is the most observed kind of precipitation in the atmosphere. Clouds are formed of water droplets, dirt and dust. When the amount of water droplets exceeds and the cloud becomes heavy, they fall down onto the surface of earth. Raindrops can have a diameter of 6mm. These water droplets combine each to form a bigger water droplet. The droplets freeze onto a crystal of ice, this process is known as coalescence. Large drops of water fall to the Earth&#39;s surface, they break up into smaller drops in the form of rain.<br/><br/><u>Snowflakes :</u> When the temperature freezes the tiny cloud droplets, snow crystals are formed. It is basically flaky ice crystals that have an average density of 0.1g/cc. Water vapours being large in number, force the ice droplets to evaporate, ice crystals grow at the expense of these droplets.<br/><br/><u>Sleet :</u> The rain that freezes or partially freezes when falling from the sky is known as sleet. Sleet only occurs during winters when air is at sub freezing temperature.<br/><br/><u>Hail :</u> Hail is supercooled water, which is refrozen in the atmosphere, before it falls back to the ground as a small ball of ice of size more than 8 mm.<br/><br/><u>Glaze :</u> It is ice coating formation when rain or drizzle comes in contact with cold object on the ground.",NA
"The following statements (P, Q) are derived on the basis of precipitation values from the mass curve of rainfall of a self-recording rain gauge, given in the table. Identify the correct statement(s) and select the most appropriate option. <br/>Time from start of rainfall (minutes) 0, 15, 30, 45, 60, 75, 90 <br/>Cumulative rainfall (mm) 0, 6, 15, 15, 30, 35, 45 <br/><br/>P. The intensity of rainfall during the time interval (0 to 15) is more than the intensity of rainfall during the time interval (60 to 75). <br/>Q. There is no rainfall during the time interval (30 to 45).",NA,B,P only,Both P and Q,Q only,Neither P nor Q,NA,NA,NA,NA,"From the given table, it has been observed that <br/>the intensity of rainfall during the time interval (0 to 15 min) is 0.4 mm/min, which is greater than the rainfall intensity during the time interval (60 to 75 min) is 0.33 mm/hr. The rainfall during the time interval (30-45 min) is 0. So, both statements are correct.",https://abhigyanacademy.com/upload/gallery/1720685730.png
Which one of the following points should be kept in mind while selecting the site for a rain gauge station?,NA,D,The site where a rain gauge is set up should be close to a meteorological observatory.,The rain gauge should be on the top of a hill.,"A fence, if erected to protect the rain gauge from cattle etc. should be located within twice the height of the fence.",The distance between the rain gauge and the nearest object should be at least twice the height of the object.,NA,NA,NA,NA,"While selecting the site for rain gauge stations the following points should be considered:<br/>-The site should be on level ground and on open space. It should never be on sloping ground.<br/>- The site should be such that the distance between the gauge station and the objects (like a tree, building, etc) should be at least twice the height of the objects.<br/>- In the hilly area, where level ground is not available, the site should be so selected that the station may be well shielded from high wind.<br/>- The site should be easily accessible to the observer.<br/>- The site should be well protected from cattle by wire fencing.",NA
Rainfall with an intensity of 6 mm/h is classified as:,NA,B,Trace rain,Moderate rain,Heavy rain,Light rain,NA,NA,NA,NA,"Concept:<br/>Precipitation- It is the fall of water in various forms on the earth from the clouds. <br/>The usual forms of precipitation are as follows:<br/>Forms of precipitation :    Characteristics <br/> Rain :- Water droplets of size 0.5mm to 6mm. Based on its intensity it is classified as:- <br/> Intensity (mm/hr)  :  Type <br/>0 - 2.5  :  Light <br/>2.5 - 7.5  :  Medium <br/> >7.5  : Heavy <br/><br/> Snow :- Ice crystals of density 0.1 g/cc <br/>- Drizzle :- Water droplets of size < 0.5 mm and intensity < 1 mm/hr <br/>- Glaze :- Water droplets in contact with cold water surface (0&deg;C) <br/>-Sleet :- Frozen raindrops<br/>- Hail :- Lumps of Ice > 8 mm <br/><br/>Note: Rainfall intensity is measured by Rain Gauge, Pluviometer, Ombrometer or Hyetometer.",NA
"A catchment has 5 rain gauge stations, for a 6% error in estimation of mean rainfall and coefficient of variation of rainfall values of existing stations is 20. Determine additional no. of stations needed",NA,C,8,9,7,12,NA,NA,NA,NA,NA,https://abhigyanacademy.com/upload/gallery/1720688756.png
The coefficient of variation of the rainfall for six rain gauge stations in catchments was found to be 29.54%. The optimum number of stations in the catchments for an admissible 10% error in the estimation of the mean rainfall will be :,NA,C,3,6,9,12,NA,NA,NA,NA,NA,https://abhigyanacademy.com/upload/gallery/1720689571.png
"Under the same conditions, which one of the following is most suitable for using the Isohyetal method to evaluate mean aerial depth of rainfall?",NA,B,Plain country,Gently sloping basin,Undulating country,A place where the precipitation includes snow-melt,NA,NA,NA,NA,"Isohyetal method:<br/>- This method is used to estimate the mean precipitation across an area by drawing lines of equal precipitation and uses topographical and other data to yield reliable estimates.<br/>- Isohyets are contours of equal ppt analogous to contour lines on a topographical map.<br/>- In the isohyetal method, ppt values are plotted at their respective station on a suitable base map, and isohyets are drawn to create an isohyetal map.<br/>- Isohyetal lines are based on interpolation between rain gauge stations. While constructing isohyets, it is assumed that rainfall between 2 stations varies linearly, unless abrupt changes in topography indicate otherwise.<br/>- So, a gently sloped basin is most suitable for linearly changing rainfall and hence for the isohyetal method.",NA
Imaginary lines joining equal ___________ is known as isohyets.,NA,C,height,humidity,rainfall,pressure,NA,NA,NA,NA,"Concept-<br/>- Isohyets are the imaginary lines joining the points of equal rainfall.<br/>- An isohyet is a contour line drawn on maps that connect places or points that received the same amount of rainfall or precipitation at a given period of time. <br/>- It is used to represent areas that received a similar amounts of rain or equal density of rain during a particular storm.<br/>- These lines help to estimate the various rainfall parameters like the minimum and maximum, an average rainfall of a particular region.<br/>- A map formed by these isohyetal lines is called the isohyetal map.",NA
