question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"If the work done by p men in (p + 2) days is to the work done by (p + 4) men in (p – 1) days is in the ratio 1 : 1, then the value of p is:",NA,B,2,4,6,5,NA,NA,NA,NA,"Work done will be directly proportional to number of men and days.<br/>So according to the question,<br/>[(p)(p + 2)] / [(p + 4)(p - 1)] = 1/1<br/>p2 + 2p = p2 + 4p - p - 4<br/>p = 4",NA
"The monthly incomes of X and Y are in the ratio of 4:3 and their monthly expenses are in the ratio of 3:2. However, each saves Rs. 6,000 per month. What is their total monthly income?",NA,B,"Rs. 28,000","Rs. 42,000","Rs. 56,000","Rs. 84,000",NA,NA,NA,NA,Given :<br/>The ratio of the income of X and Y is 4 : 3.<br/>The ratio of monthly expenses of X and Y is 3 : 2. <br/>X and Y save 6000 rupees each month.<br/>Concept used: <br/>Savings = Income - expense<br/>Calculations:<br/>Let the ratio of monthly income of X and Y be 4a and 3a respectively. <br/>Let the ratio of monthly expenses of X and Y be 3b and 2b respectively. <br/>Savings of X = 4a - 3b <br/>4a - 3b = 6000      ....(1) <br/>Savings of Y = 3a - 2b <br/>3a - 2b = 6000      ....(2) <br/><br/>Solving equation 1 and 2 <br/>We get a = 6000 and b = 6000 <br/>Total monthly income of X and Y = 4a + 3a = 7a <br/> => 7 × 6000 <br/> => 42000 rupees<br/> => Option 2 is the correct answer.,NA
"The incomes of Sheldon, Leonard, and Howard are in the ratio of 4 : 5 : 6 respectively and their spending are in the ratio of 6 : 7 : 8 respectively. If Sheldon saves one fourth his income, then the savings of Sheldon, Leonard, and Howard are in the ratio:",NA,A,2:3:4,5:6:9,5:9:6,9:5:6,NA,NA,NA,NA,"Let the incomes be 4x, 5x, 6x and the spending be 6y, 7y, 8y and savings are (4x–6y), (5x–7y) & (6x–8y) <br/>Sheldon saves 1/4th of his income.<br/>Therefore: <br/> 4x – 6y = 4x / 4 <br/> 4x – 6y = x <br/> 3x = 6y <br/> x / y = 2 <br/> y = x / 2<br/><br/>Ratio of Sheldon’s Leonard’s & Howard’s savings: <br/> = 4x – 6y : 5x – 7y : 6x – 8y<br/> = x : 5x – 7y : 6x – 8y <br/> = x : 5x – 7x / 2 : 6x – 8x / 2 <br/>= x : 3x / 2 : 2x <br/> = 2 : 3 : 4",NA
"A sum of Rs. 12,384 is divided between A, B, C and D such that the ratio of the shares of A and B is 3 : 4, that of B and C is 5 : 6, and that of C and D is 8 : 9. What is the share of C ?",NA,C,"Rs. 2,880","Rs. 3,888","Rs. 3,456","Rs. 2,160",NA,NA,NA,NA,"Given:<br/>A : B = 3 : 4 <br/>B : C = 5 : 6 <br/>C : D = 8 : 9 <br/>Sum to divided among them = Rs. 12,384 <br/>Concept used: <br/>Ratio Proportion <br/>Calculation:<br/>A : B = 3 : 4 = 15 : 20 <br/>B : C = 5 : 6 = 20 : 24 <br/>C : D = 8 : 9 = 24 : 27 <br/>A : B : C : D = 15 : 20 : 24 : 27 <br/>Share of C = 24/(15 + 20 + 24 + 27) × 12384 = Rs. 3456 <br/>The share of C is Rs. 3456.",NA
"A bag has Rs.785 in the denomination of Rs.2, Rs.5 and Rs.10 coins. The coins are in the ratio of 6 : 9 : 10. How many coins of ? 5 are in the bag?",NA,C,60,12,45,24,NA,NA,NA,NA,"Given: <br/>Rs.785 in the denomination of Rs.2, Rs.5 and Rs.10 coins <br/>The coins are in the ratio of 6 : 9 : 10 <br/>Calculation: <br/>Let the number of coins of Rs.2, Rs.5 and Rs.10 be 6x, 9x, and 10x respectively <br/> => (2 × 6x) + (5 × 9x) + (10 × 10x) = 785 <br/>=> 157x = 785 <br/> x = 5 <br/> Number of coins of Rs.5 = 9x = 9 × 5 = 45 <br/> Therefore, 45 coins of Rs. 5 are in the bag.",NA
"An alloy of gold and silver is taken in the ratio of 1 : 2, and another alloy of the same metals is taken in the ratio of 2 : 3. How many parts of the two alloys must be taken to obtain a new alloy consisting of gold and silver that are in the ratio 3 : 5?",NA,B,2 and 9,3 and 5,2 and 5,1 and 5,NA,NA,NA,NA,"Let x and y be mass of two alloys mixed. <br/>In first alloy: <br/>Gold = x × 1 / (1 + 2) = x/3 <br/>Silver = x × 2 / (1 + 2) = 2x/3 <br/>In second alloy: <br/>Gold = y × 2 / (2 + 3) = 2y/5 <br/>Silver = y × 3 / (2 + 3) = 3y/5 <br/>In resulting alloy: <br/>Gold / Silver = 3 / 5 <br/>(x/3+2y/5) / (2x/3+3y/5) = 3 / 5 <br/>(x/3+2y/5) × 5 = (2x/3+3y/5) × 3 <br/>5x/3 + 2y = 2x + 9y/5 <br/>5x/3 - 2x = 9y/5 - 2y <br/>-x/3 = -y/5 <br/>x / y = 3 / 5 <br/><br/>Therefore, two alloys should be taken in ratio of 3 : 5",NA
"In a company, 20% of the employees work in the manufacturing department. If the total salary obtained by all the manufacturing employees is one-sixth of the total salary obtained by all the employees in the company, then the ratio of the average salary obtained by the manufacturing employees to the average salary obtained by the nonmanufacturing employees is",NA,D,6:5,5:4,5:6,4:5,NA,NA,NA,NA,"Let the number of total employees in the company be 100x, and the total salary of all the employees be 100y. <br/>It is given that 20% of the employees work in the manufacturing department, and the total salary obtained by all the manufacturing employees is one-sixth of the total salary obtained by all the employees in the company. <br/>Hence, the total number of employees in the manufacturing department is 20x, and the total salary received by them is (100y/6) <br/>Average salary in the manufacturing department = (100y/6*20x) = 5y/6x <br/>Similarly, the total number of employees in the nonmanufacturing department is 80x, and the total salary received by them is (500y/6) <br/>Hence, the average salary in the nonmanufacturing department = (500y/6*80x) = 25y/24x <br/>Hence, the ratio is:- (5y/6x): (25y/24x) <br/>=> 120: 150 = 4:5 <br/>The correct option is D",NA
"In a garrison of 3600 men, the provisions were sufficient for 20 days at the rate of 1.5 kg per man per day. If x more men joined, the provisions would be sufficient for 12 days at the rate of 2 kg per man per day. Find x.",NA,C,600,800,900,720,NA,NA,NA,NA,"Let x be the number of new men joined the garrison, <br/>The total quantity of food is = 3600(20) (1.5) kg ----------1 <br/>Now the available food will be consumed by (3600 + x) men <br/>(3600 + x) (12) (2) kg  --------------2 <br/>1 = 2 <br/>Solving both the equations <br/>3600(20) (1.5) = (3600 + x) (12) (2) <br/>108000 = 86400 + 24x <br/>21600 = 24x <br/>X = 900 <br/>900 more men joined the garrison.",NA
The difference between the two positive numbers is 10 and the ratio between them is 5:3. Find the product of the two numbers.,NA,A,375,325,275,125,NA,NA,NA,NA,"Let the nos. be 5x and 3x. <br/>Then, 5x - 3x = 10 <br/> 2x = 10, x = 5 <br/>Required product = 5x * 3x <br/> 5 * 5 * 3 * 5 = 375",NA
Four numbers in the ratio of 1:3:4:7 add up to give a sum of 75. Find the value of the biggest number.,NA,B,42,35,49,63,NA,NA,NA,NA,"Let the number be x, 3x, 4x and 7x. Then, x + 3x + 4x + 7x = 75 <br/>15x = 75 , x = 5 <br/>Required value = 7 * 5 = 35",NA
