question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"The average of a batsman after 25 innings was 56 runs per innings. If after the 26th inning his average increased by 2 runs, then what was his score in the 26th inning?",NA,108,109,108,110,107,NA,NA,NA,NA,"Normal process: <br/>Runs in 26th inning = Runs total after 26 innings – Runs total after 25 innings <br/>= 26 X 58 – 25 X 56 <br/><br/>For Easy calculation use: <br/>= (56 + 2) X 26 – 56 X 25 ) <br/>= 2 X 26 + (56 X 26 – 56 X 25) <br/>= 52 + 56 = 108 <br/><br/>Since the average increases by 2 runs per innings, it is equivalent to 2 runs being added to each score in the first 25 innings. Now, since these runs can only be added by the runs scored in the 26th inning, the score in the 26th inning must be 25 X 2 = 50 runs higher than the average after 26 innings (i.e. new average = 58). <br/><br/>Hence, runs scored in 26th inning: <br/>= New Average + Old innings X Change in average <br/>= 58 + 25 X 2 <br/>= 108",NA
There are 7 members in a family whose average age is 25 years. Ram who is 12 years old is the second youngest in the family. Find the average age of the family in years just before Ram was born?,NA,Cannot be determined,15.167,18.2,13,Cannot be determined,NA,NA,NA,NA,"In order to find the average age of the family before Ram was born, we need to know the age of the youngest member of the family. <br/>Since, we do not know the age of the youngest member, we can not calculate the total age of the family before Ram was born. <br/>Hence, we can not calculate the answer with the given conditions. <br/><br/>Thus, D is the right choice.",NA
"The average weight of a class of 10 students is increased by 2 kg when one student of 30kg left and another student joined. After a few months, this new student left and another student joined whose weight was 10 less than the student who left now. What is the difference between the final and initial averages?",NA,1,11,1,111,121,NA,NA,NA,NA,Change in total weight of 10 students = difference in weight of the student who joined and the student <br/>=> weight of first student who left = 30 + (10×2) = 50 <br/>weight of the student who joined last = 50 – 10 = 40... <br/>Thus change in average weight = (40 – 30)/10 = 1,NA
"The average of 15 numbers is 18. If each number is multiplied by 9, then the average of the new set of numbers is:",NA,162,144,152,162,164,NA,NA,NA,NA,"When we multiply each number by 9, the average would also get multiplied by 9. <br/>Hence, the new average = 18 X 9 = 162.",NA
"The average number of runs scored by Virat Kohli in four matches is 48. In the fifth match, Kohli scores some runs such that his average now becomes 60. In the 6th innings he scores 12 runs more than his fifth innings and now the average of his last five innings becomes 78. How many runs did he score in his first innings? (He does not remain not out in any of the innings)",NA,30,30,50,70,90,NA,NA,NA,NA,"Runs scored by Kohli in first 4 innings = 48*4 = 192 <br/>Average of 5 innings is 60, so total runs scored after 5 innings = 60*5 = 300 <br/>Hence runs scored by Kohli in fifth inning = 300 – 192 = 108 <br/>It is given that in 6th innings he scores 12 runs more than this, so he must score 120 in the sixth inning. Hence total runs scored in 6 innings = 300+120 = 420 <br/>Now average of last five innings is 78, so runs scored in last innings = 390 <br/>Hence runs scored in first inning = 420 – 390 = 30",NA
Dev and Om are among 22 students who write an examination. Dev scores 82.5. The average score of the 21 students other than Om is 62. The average score of all the 22 students is one more than the average score of the 21 students other than Dev. The score of Om is.,NA,51,51,42,52,24,NA,NA,NA,NA,"Let the score of Om =x <br/>Total marks of all the students = 21*62 +x <br/>As per the question, The average score of all the 22 students is one more than the average score of the 21 students other than Dev, <br/>Or (21*62 +x)/22 -1 = (21*62 +x – 82.5)/21 <br/>(21*62 + x -22)/22 = (21*62 +x – 82.5)/21. Therefore, x =51",NA
The average marks of a group of 20 students on a test is reduced by 4 when the topper who scored 90 marks is replaced by a new student. How many marks did the new student have? ,NA,10,20,30,40,10,NA,NA,NA,NA,"Let initial average be x. <br/>Then the initial total is 20x and the New average will be (x – 4), <br/><br/>The new total will be: <br/>20(x – 4) = 20x – 80. <br/><br/>The reduction of 80 is created by the replacement. Hence, the new student has 80 marks less than the student he replaces. Hence, he must have scored 10 marks. <br/><br/>Short Cut: <br/>The replacement has the effect of reducing the average marks for each of the 20 students by 4. Hence, the replacement must be 20 X 4 = 80 marks below the original. <br/><br/>Hence, answer = 10 marks.",NA
The average of the first ten composite numbers is ,NA,11.2,11.2,12.9,11,10,NA,NA,NA,NA,"The first ten composite numbers are: 4, 6, 8, 9, 10, 12, 14, 15, 16, 18. <br/><br/>Required average: <br/>= (4 + 6 + 8 + 9 + 10 + 12 + 14 + 15 + 16 + 18) / 10 <br/>= 112 / 10 <br/>= 11.2",NA
"The average weight of 3 boys Ross, Joey and Chandler is 74 kg. Another boy David joins the group and the average now becomes 70 kg. If another boy Eric, whose weight is 3 kg more than that of David, replaces Ross then the average weight of Joey, Chandler, David and Eric becomes 75 kg. The weight of Ross is:",NA,41 kg,40 kg,41 kg,42 kg,49 kg,NA,NA,NA,NA,"David's Weight = (4 x 70) – (3 x 74) = 280 – 222 = 58 <br/>Eric’s weight = 58 + 3 = 61 <br/><br/>Now, we know that: <br/>Ross + Joey + Chandler + David = 4 x 70 = 280 <br/>Joey + Chandler + David + Eric = 75 x 4 = 300. <br/><br/>Hence, Ross’s weight is 20 kg less than Eric’s weight. Ross = 61 - 20 = 41 kg.",NA
"The mean temperature of Monday to Wednesday was 35 °C and of Tuesday to Thursday was 30 °C. If the temperature on Thursday was 1/2 that of Monday, the temperature on Thursday was ______ .",NA,15 °C,30 °C ,15 °C,20 °C ,25 °C,NA,NA,NA,NA,Mon + Tue + Wed = 35*3 = 105  ---------(1) <br/>Tue + Wed + Thu = 30*3 = 90  -------------(2) <br/>Thu = (1/2) Mon  ------------(3) <br/><br/>Eqn (1)-(2): <br/>Mon-Thu = 15 ------------(4) <br/><br/>  Mon - (1/2) Mon = 15<br/> (1/2) Mon = 15 <br/>Mon =30 <br/>Thu = 30/2=15,NA
