question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"<b>Direction: The following sentence has a word or phrase underlined. Read the sentence carefully and find which part of speech the bold/underlined word belongs to. Indicate your response accordingly.</b><br/><br/><b><u>Whoa,</u></b> this city view is amazing!",NA,B,adverb,interjection,pronoun,noun,NA,NA,NA,NA,"The part of speech of the word <b><q>whoa</q></b> is <b>an interjection.</b><br/><b>Interjections</b> are words used to express strong feelings or sudden emotions.<br/>They are included in a sentence (usually at the start) to express a sentiment such as surprise, disgust, joy, excitement, or enthusiasm.<ul><b>Example:</b> Whoa, that is bizarre!</ul><br/>In the given sentence, the word <b><q>whoa</q></b> is showing <b>surprise.</b>",NA
"<b>Direction: The following sentence has a word or phrase underlined. Read the sentence carefully and find which part of speech the underlined word belongs to. Indicate your response accordingly.</b><br/><br/>Of course, you should go. <u>Why</u> I&#39;ll drive you myself.",NA,D,Preposition,Pronoun,Adjective,Interjection,NA,NA,NA,NA,"The part of speech of the word <b><q>why</q></b> is an <b>interjection.</b><br/><b>Interjections</b> are words used to express strong feelings or sudden emotions.<br/>They are included in a sentence (usually at the start) to express a sentiment such as surprise, disgust, joy, excitement, or enthusiasm.<br/><b><q>Why</q></b> is used as an interjection in two ways: as an expression of surprise, often with overtones of disagreement or protest.<ul>Example: Why I&#39;m as patriotic as anyone.</ul><br/>In the given sentence, the word <b><q>why</q></b> is showing emotion.",NA
"<b>Direction: The following sentence has a word or phrase underlined. Read the sentence carefully and find which part of speech the bold/underlined word belongs to. Indicate your response accordingly.</b><br/><br/>

I tried my birthday cake and <b><q>yuck!</q> It wasn&#39;t any good.",NA,B,adverb,interjection,adjective,More than one of the above,NA,NA,NA,NA,"The part of speech of the word 'yuck' is an interjection.
Interjections are words used to express strong feelings or sudden emotions.
They are included in a sentence (usually at the start) to express a sentiment such as surprise, disgust, joy, excitement, or enthusiasm.
Example: Wow, that’s so beautiful!
In the given sentence, the word 'yuck' is showing emotion.",NA
"Identify the interjection from the following sentence:<br/><q>Oh, I didn&#39;t see you there!</q>",NA,A,Oh,see,there,you,NA,NA,NA,NA,"An interjection is a word or phrase that expresses strong emotion or surprise.<br/>It is usually standalone, meaning it doesn&#39;t grammatically link to other parts of the sentence.<br/>In the sentence <q>Oh, I didn&#39;t see you there!</q>, the word <q><b>Oh</q></b>is used to express surprise, and it doesn&#39;t connect to the rest of the sentence in a grammatical way, so it is the <b>interjection.</b>",NA
<b>Choose the correct part of speech for the underlined word.</b><br/><br/><u>What!</u> You are playing on the field now.,NA,B,Interjection of joy,Interjection of surprise,Interjection of greeting,Interjection of sorrow,NA,NA,NA,NA,"Here, in the given sentence the underlined part <q><b>What!</b></q> is an <b>Interjection of surprise.</b><br/>Interjections are words <b>used to express strong feelings or sudden emotions.</b><br/>The Interjection of surprise <b>is used to express the feeling of surprise for any incident that has happened (i.e. Oh!, what!, Ah!, Ha!, etc.).</b><br/><b>Example: Oh!</b> You shouldn’t have done it.?<br/>Here, in the given above example, the interjection <b><q>Oh!</q></b> is an <b>Interjection of surprise.</b><br/>Therefore, as per the points mentioned above, we find that the correct answer is <b>option 2</b>.?",NA
<b>Choose which part of speech the underlined part belongs to:</b><br/><br/><u>Bravo!</u> Well done players.,NA,A,Interjection,Adjective,Verb,Adverb,NA,NA,NA,NA,"As we have to <b>identify the part of the speech</b> of the word, we need to <b>know the significance of the parts of the speech.</b><br/><b>Parts of speech:</b><br/>A <b>category to which a word is assigned</b> in accordance <b>with its syntactic functions. </b><br/>In English, the main parts of speech are <b>noun, pronoun, verb, adjective, adverb, preposition, conjunction, and interjection.</b>",https://abhigyanacademy.com/upload/gallery/1725687747.png
"<b>Select the most appropriate option to substitute the underlined segment in the given sentence. If there is no need to substitute it, select No improvement.</b><br/><br/><u>Bless you!</u> I am lost in the wilderness",NA,A,"Alas!
",Bravo!,Congrats!,No improvement,NA,NA,NA,NA,The underlined expression in the question and all the options given belong to the part of speech called <b>Interjection</b><br/>An interjection is a word or expression that occurs as an utterance on its own and expresses a spontaneous feeling or reaction. It is usually followed by an exclamation mark,NA
<b>Each of the following sentences has a word or phrase underlined. Read the sentences carefully and find which part of speech the underlined word is. Indicate your response on the Answer Sheet accordingly.</b><br/><br/><u>Alas!</u> He has been defeated.,NA,C,Adjective,Adverb,Interjection,Conjunction,NA,NA,NA,NA,"As we have to <b>identify the part of the speech</b> of the word, we need to <b>know the significance of the parts of the speech.<br/>Parts of speech:</b><ul>A <b>category to which a word is assigned</b> in accordance <b>with its syntactic functions.</b> </ul><ul>In English, the main parts of speech are <b>noun, pronoun, verb, adjective, adverb, preposition, conjunction, and interjection.</b></ul>",https://abhigyanacademy.com/upload/gallery/1725688844.png
<b>Choose which part of speech the underlined part belongs to:</b><br/><br/><u>Alas!</u> I have lost everything.,NA,A,Interjection,Pronoun,Verb,Noun,NA,NA,NA,NA,"As we have to <b>identify the part of the speech</b> of the word, we need to <b>know the significance of the parts of the speech.<br/>Parts of speech:</b><ul>
A <b>category to which a word is assigned</b> in accordance <b>with its syntactic functions.</b> </ul><ul>In English, the main parts of speech are <b>noun, pronoun, verb, adjective, adverb, preposition, conjunction, and interjection.</b><ul>",NA
<b>Identify the part of speech the underlined word belongs to.</b><br/><br/><u>Shoot!</u> I forgot my notebook.,NA,A,Interjection,Conjunction,Pronoun,Noun,NA,NA,NA,NA,"The underlined word <q>Shoot!</q> is an interjection that is used for expressing anger, annoyance, regret, or disgust (about something).<ul> For example: Shoot, that was a great day to be alive.</ul><br/>As we have to identify which part of speech the word belongs to, we need to know the significance of the parts of speech.<br/><b><u>Parts of Speech:</u></b> <ul>A category to which a word is assigned in accordance with its syntactic functions.</ul><ul>In English, the main parts of speech are noun, pronoun, adjective, determiner, verb, adverb, preposition, conjunction, and interjection.?</ul>",NA
