question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Consider the following statements regarding El Nino effect on Indian Monsoon : <br/><br/>1. The surface temperature goes up in the Southern Pacific Ocean and there is deficient rainfall in India. <br/>2. The Walker Circulation shifts eastward from its normal position and reduces monsoon rainfall in India. <br/><br/>Which of the statements given above is/are correct?,NA,C,1 only,2 only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"El Nino is the name given to the warm ocean currents along the Pacific coast of South America that arise every few years at about Christmas time. <br/>The El Nino phenomenon is a part of a chain of meteorological events that extends from the eastern Pacific to northern Australia, Indonesia and into the heartland of India. <br/>There is a rather weak correlation between El Nino and the Indian monsoon rains.",NA
The retreating Monsoon gives rainfall to,NA,C,Gujarat,Goa,Tamil Nadu,Maharashtra,NA,NA,NA,NA,"Around September, with the sun fast retreating south, the northern landmass of the Indian subcontinent begins to cool off rapidly. With this air pressure begins to build over northern India, the Indian Ocean and its surrounding atmosphere still hold its heat. <br/><br/>This causes the cold wind to sweep down from the Himalayas and Indo-Gangetic Plain towards the vast spans of the Indian Ocean south of the Deccan peninsula. This is known as the Northeast Monsoon or Retreating Monsoon.",NA
South-West Monsoon reaches Kerala in,NA,A,End of May,Mid-June,Last June,First week of July,NA,NA,NA,NA,The general trend of the arrival of Southwest Monsoon in Kerala is the last (3-4) days of May to early days of June.,NA
South-West monsoon contributes to India&#39;s total rainfall up to the extent of,NA,A,80-90%,50-55%,100%,75%,NA,NA,NA,NA,Southwest Monsoon accounts for around 85% of India&#39;s total rainfall.,NA
Consider the following statements about south-west monsoon: <br/><br/>1. It occurs from June to September <br/>2. Its direction is north-east to south-west. <br/>3. It gives maximum rainfall as compared to another monsoon. <br/>4. It has no branch. <br/><br/>Of these statement(s) which is/are correct?,NA,B,"1, 2, 3 and 4",1 and 3,"2, 3 and 4",2 and 4,NA,NA,NA,NA,"It occurs from June to September. As Southwest Monsoon approaches the withdrawal phase from a particular region, certain conditions become prevalent. These include change of wind pattern, reduction in cloud cover, and decrease in humidity, cessation of rain or sporadic rain, and temporary rising tendency of temperatures.",NA
"Which of the following statements concerning rainfall in India is/are correct? <br/><br/>1. Most of the rainfall in India is due to the South-West monsoon. <br/>2. In South India, rainfall decreases away from the Eastern Ghats. <br/><br/>Select the correct answer using the codes given below:",NA,A,Only 1,Only 2,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"In the South, India rainfall decreases from the Western Ghats towards the East.",NA
Consider the following statements:<br/>The South-West monsoon originates in India due to<br/><br/>1. low pressure in the Punjab plain.<br/>2. high pressure in areas South of India<br/>3. equatorial low being filled up by descending air current.<br/>4. the Himalayas.<br/><br/>Which of the statements given above is/are correct?,NA,A,1 and 4,1 and 2,1 and 3,2 and 4,NA,NA,NA,NA,"The Southwest monsoon drives 80% of India&#39;s rainfall, drawn by the country&#39;s vast size and the Himalayas&#39; barrier effect. As moist air rises over the mountains, it releases water vapor, resulting in heavy rainfall.",NA
Which of the following statements regarding south-west monsoon in India is/are correct? <br/><br/>I. Monsoon reaches the Malabar coast first. <br/>II. Rajasthan does not get rainfall from the south-west monsoon. <br/>III. South-west monsoon retreats when the permanent wind belts start shifting to the south. <br/><br/>Select the correct answer using the code given below :,NA,A,"I, II and III",I and II only,III only,I and III only,NA,NA,NA,NA,"The southwest monsoon brings rains towards the end of summer as the high pressure built in the Indian Ocean pushes the wind masses towards the low pressure formed on land.<br/>It&#39;s the temperature variation between the sea and the landmass - sea air being cooler and land being warmer - that causes the action. Also, we have to take an important factor called Temperature Gradient into consideration.<br/>It is the Temperature Variation Between The landmass and the surrounding sea.<br/>Monsoon may be considered as large scale sea breezes, because of seasonal heating. The south west monsoon brings rain towards the end of summer It arrives in two branches :- The way of Bengal branch and the Arabian sea branch.",NA
Which of the following are the major factors responsible for the monsoon type of climate in India? <br/><br/>1. Location <br/>2. Thermal contrast <br/>3. Upper air circulation <br/>4. The Himalayan Mountains <br/><br/>Select the correct answer using the code given below.,NA,C,1 and 4 only,"1, 2, 3 and 4","2, 3 and 4 only","1, 2 and 3 only",NA,NA,NA,NA,"All the given factors in the options (eg. location, thermal contrast, upper air circulation and the Himalayan mountains) are responsible for the monsoon type of climate in India.",NA
Consider the following statements:<br/><br/>The South-West monsoon originates in India due to<br/>1. low pressure in the Punjab plain.<br/>2. high pressure in areas South of India.<br/>3. equatorial low being filled up by descending air current.<br/>4. the Himalayas.<br/><br/>Which of the statements given above is/are correct?,NA,A,1 and 4,1 and 2,1 and 3,2 and 4,NA,NA,NA,NA,"The southwest Monsoon, typically occurring from July to September, brings rain to the Indian subcontinent by pushing moisture-laden winds from the Indian Ocean towards the low-pressure areas formed over land due to intense summer heat. As these winds encounter the Himalayas, they are forced to rise, cool, and release precipitation, due to the barrier effect of the mountain range.",NA
