question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which of the following is true with regard to TRIMS?,NA,C ,TRIMS ensure that the domestic countries do not discriminate between the foreign investors and the national investors,It ensures that they do not force the investors to invest in the sectors that will fulfill the self-centred interest of the domestic economy,Both (1) and (2),More than one of the above,NA,NA,NA,NA,"<b>TRIMS: Trade-Related Investment Measures:</b><ul>The Agreement on Trade-Related Investment Measures (TRIMs) rules that are applicable to the domestic regulations a country applies to foreign investors, often as part of an industrial policy.</ul><ul>TRIMs are rules that restrict the preference of domestic firms and thereby enable international firms to operate more easily within foreign markets.</ul><ul>Policies such as local content requirements and trade balancing rules that have traditionally been used to both promote the interests of domestic industries and combat restrictive business practices are now banned.</ul><ul>It ensures that they do not force the investors to invest in the sectors that will fulfill the self-centered interest of the domestic economy. Statement 2 is correct.</ul><ul>The Agreement on Trade-Related Investment Measures (TRIMS) recognizes that certain investment measures can restrict and distort trade.</ul><ul>The TRIMS Committee looks after the operation and execution of this agreement and allows members the chance to consult on any appropriate matters.</ul><ul>Agreement on TRIMs resulting from Uruguay recognizes that certain investment measures may cause restrictive effects on international trade in goods.</ul>",NA
In 1945 How many countries signed the charter of UNO?,NA,C ,52 Countries,53 Countries,51 Countries,More than one of the above,NA,NA,NA,NA,"The charter of UNO:<br/><br/>The <b>Charter was signed on 26 June 1945</b> by the <b>representatives of 50 countries, Poland signed on 15 October 1945.</b><br/>There were <b>51 Founding Members in 1945.</b><br/>In accordance with Article 110, the Charter entered into force on 24 October 1945, after ratification by the five permanent members of the Security Council and a majority of the other countries.<br/>Twenty-two countries subsequently deposited their instruments of ratification.<br/>Since <b>1945,</b> some of the <b>Founding Members have changed their names,</b> others have been <b>dissolved and new states have succeeded them.</b><br/>It establishes the purposes, governing structure, and the overall framework of the UN system, including its six principal organs:<ul>the Secretariat, the General Assembly, the Security Council, the Economic and Social Council, the International Court of Justice, and the Trusteeship Council.</ul><br/>The General Assembly formally recognized 24 October as United Nations Day in 1947 and declared it an official international holiday in 1971.<br/>With 193 parties, most countries have now ratified the Charter.<br/><br/>Hence, the correct answer is <b>51 Countries.</b>",NA
"What is the theme of <q>World Day Against Child Labour, 2024</q>?",NA,A,Let&#39;s act on our commitments: End Child Labour,Week of Action against Child Labour,Universal Social Protection to End Child Labour,More than one of the above,NA,NA,NA,NA,"The International Labour Organisation (ILO) launched the World Day Against Child Labour in 2002, as part of its ongoing efforts to eliminate child labour.<br/>The theme for World Day Against Child Labour 2024 is <b>Let&#39;s act on our commitments: End Child Labour.</b><br/>Observed annually on June 12, the World Day Against Child Labour is a significant global event aimed at raising awareness and mobilising efforts to end child labour in all its forms.<br/> The ILO, founded in 1919, has long been at the forefront of advocating for workers' rights and addressing labour issues globally. The establishment of this day was a response to the growing recognition that child labour is a severe violation of human rights and a major barrier to sustainable development.<br/>Child labour is defined by the ILO as work that deprives children of their childhood, potential, and dignity, and that is harmful to physical and mental development. It often involves long hours in dangerous environments, preventing children from attending school and obtaining an education",NA
The headquarters of UNESCO is at,NA,B,New york,Paris,Geneva,Rome,NA,NA,NA,NA,"It stands for <b>United Nations Educational, Scientific and Cultural Organisation.</b><br/>It was formed on <b>4th November 1945.</b><br/>Its headquarters are in <b>Paris, France.</b><br/>Currently, UNESCO has <b>193 members and 11 associates members.</b><ul>The <b>US, Israel, and Liechtenstein are members of the UN, but not members UNESCO.</b></ul><ul>Three countries, namely, <b>Palestine, Niue, and the Cook Islands</b> are members of UNESCO, but not of the UN.</ul><b>India</b> was the <b>founding member of UNESCO.</b><br/>India has <b>42</b> world heritage sites.",NA
The headquarters of the <q>International Labour Organization</q> is located at ________.,NA,B,London,Geneva,Berlin,Washington,NA,NA,NA,NA,The correct answer is <b><u>Geneva.</u></b>,https://abhigyanacademy.com/upload/gallery/1726042654.png
Article 6 of the Universal Declaration of Human Rights deals with the ________.,NA,A,Right to Recognition as a Person before the Law,Right to Remedy by Competent Tribunal,Freedom from Arbitrary Arrest and Exile,Right to Equality before the ,NA,NA,NA,NA,"The correct answer is <b><u>Right to Recognition as a Person before the Law.</u></b><ul>The Article 6 of the UDHR states that <b><q>Everyone has the right to recognition everywhere as a person before the law</q></b>,despite of if they are citizens or immigrants, students or tourists, workers or refugees, or any other group.</ul>",NA
Name of Japan&#39;s Parliament is,NA,C ,Duma,Knesset,Diet,None of the above,NA,NA,NA,NA,"<b>The Japanese legislature</b> is known as the <b><q>National Diet</q>.</b><br/>Its members are <b>directly elected</b> by the people.<br/>The capital of Japan is <b>Tokyo,</b> its official language is <b>Japanese.</b>",NA
In which country is the headquarter of Asian Development Bank located?,NA,D,Malaysia,Indonesia,Thailand,Philippines,NA,NA,NA,NA,"<b>The headquarter of the Asian Development Bank is located in Manila, Philippines.</b><br/>ADB is committed to achieving a <b>prosperous, inclusive, resilient, and sustainable Asia and the Pacific</b> while sustaining its efforts to eradicate extreme poverty.<br/><b>Established in 1966, it is owned by 68 members 49 from the region.<br/>Masatsugu Asakawa</b> is the President of ADB and the Chairperson of ADB’s Board of Directors.<br/>He was elected President by ADB’s Board of Governors and assumed office on <b>17 January 2020.</b><br/>The Asian Development Bank (ADB) supports <b>projects in developing member countries</b> that create economic and development impact, delivered through both public and private sector operations, advisory services, and knowledge support.",NA
Who has been appointed as the Chairman of WHO Executive Board in May 2020?,NA,B,Tedros Adhanom,Dr. Harshvardhan,Dr. Hiroki Nakatani,Soumya Swaminathan,NA,NA,NA,NA,"The Correct Answer is <b><u>Option (2)</u></b> i.e. <b><u>Dr. Harshvardhan.</b></u><ul><b>Union Health Minister of India Dr. Harshvardhan</b> took charge as the <b>Chairman of the WHO Executive Board</b> on <b>May 22, 2020.</b></ul><ul>Harshvardhan succeeded Dr. Hiroki Nakatani of Japan and took charge of the <b>34  member</b> WHO Executive Board.</ul><ul>The main <b>functions of the Executive Board</b> are to give effect to the decisions and policies of the Health Assembly, to advise it and generally to facilitate its work.</ul><ul>The <b>World Health Organization (WHO)</b> is a specialized agency of the <b>United Nations responsible for international public health.</b></ul><ul>The WHO was established by the Constitution on <b>7th April 1948</b> and is headquartered in <b>Geneva, Switzerland.</b></ul>",https://abhigyanacademy.com/upload/gallery/1726045494.png
What is the expansion of NASA?,NA,C ,National Agency of Space Administration,Navigational Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Agency,NA,NA,NA,NA,"NASA stands for <b><u>National Aeronautics and Space Administration.</u></b><br/>The National Aeronautics and Space Administration is an independent agency of the USA <b>which is responsible for the civilian space program, aeronautics, and aerospace research.</b><br/>It was established in <b>1958 with headquarters at Two Independence Square, Washington, D.C., United States.<br/>Dwight D. Eisenhower</b> was its founder.<br/><b>James Frederick <q>Jim</q> Bridenstine</b> is present and the 13th administrator of NASA.",NA
The Bretton Woods Agreement led to the creation of which one of the following institutions?,NA,C ,United Nations,"United Nations Educational, Scientific and Cultural Organization",International Monetary Fund,International Labour Organization,NA,NA,NA,NA,"<b>The Bretton Woods Agreement</b> was a conference held in <b>July 1944</b> by delegates from <b>44</b> countries held in <b>Bretton Woods, New Hampshire.</b><br/> The Bretton Woods Agreement created two important organizations<ul><b>The International Monetary Fund (IMF)</ul><ul>The World Bank.</b></ul><br/> While the Bretton Woods System was dissolved in the <b>1970s, both the IMF and World Bank</b> have remained strong pillars for the exchange of international currencies.",NA
