question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Kalisindh Super Thermal Power Station is located at-,NA,B,Baran ,Jhalawar,Dungarpur ,Banswara,NA,NA,NA,NA,"<b>Kalisindh Super Thermal Power Station:<ul>Location:</b> The Kalisindh Super Thermal Power Station is actually located at <b>Jhalawar in Rajasthan.<br/>Type:</b> It is a coal-based thermal power station.<br/><b>Capacity:</b> The power station has a considerable installed capacity, making a significant contribution to the power generation in the region.<br/><b>Operation:</b> It is essential for meeting the electricity needs of Rajasthan and enhancing the regional power infrastructure.<br/>Significance:<br/><b>Energy Production:</b> Contributes to the state&#39;s energy supply and supports local industries and communities.<br/><b>Economic Impact:</b> Provides employment opportunities and contributes to the economic development of Jhalawar district.",NA
The Narora Atomic Power Station is located in which district of Uttar Pradesh? ,NA,D,Hardoi,Hathras,Hamirpur,Bulandshahar,NA,NA,NA,NA,"<b>Narora Atomic Power Station</b> is located in the <b>Bulandshahar district</b> of Uttar Pradesh.<br/>The power station is one of the important nuclear facilities in India, contributing to the country&#39;s energy production.<br/>It is operated by the <b>Nuclear Power Corporation of India Ltd (NPCIL).</b><br/>The Narora Atomic Power Station consists of two reactors, each with a capacity of 220 MW.<br/>The plant uses pressurized heavy-water reactors (PHWRs) for its operations.",NA
Which element is essential for the production of nuclear energy?,NA,C,Silicon,Carbon,Uranium,Hydrogen,NA,NA,NA,NA,"<b>Uranium</b> is a crucial element used in the production of nuclear energy.<br/>It is used as fuel in nuclear reactors to generate electricity through nuclear fission.<br/>Uranium 235, an isotope of uranium, is particularly important for sustaining nuclear chain reactions.<br/>The process of nuclear fission in uranium atoms releases a significant amount of energy, which is harnessed to produce electricity.",NA
Koodankulam is famous for?,NA,A,Nuclear power plant,Thermal power plant,Biosphere reserve,Major port in tamil Nadu,NA,NA,NA,NA,"<b>Koodankulum Nuclear Power Plant is the largest nuclear power station in India, situated in Koodankulam in the Tirunelveli district of Tamil Nadu.</b><br/>Kudankulam Nuclear Power Plant is being developed by the Nuclear Power Corporation of India (NPCIL) in collaboration with <b>Atomstroyexport, the Russian state company.</b><br/>The current installed capacity is 2GW.
",NA
The Kakrapar atomic power station is located in which of the following state?,NA,B,Rajasthan,Gujarat,Maharashtra,Karnataka,NA,NA,NA,NA,<b><u>Kakrapar Atomic Power Station</u></b> is located in <b><u>Gujarat.</u></b><ul><b>Kakrapar Atomic Power Station</b> is a nuclear power station commissioned on <b>6 May 1993.</b><br/>It is located in the proximity of the Surat district of <b>Gujarat.</b>,NA
Which of the following sites do <q>Not</q> have nuclear power plant?,NA,A,Vijayawada,Naraura,Tarapur,Rawat Bhata,NA,NA,NA,NA,"Vijayawada has a <b>thermal power station</b> named after Dr Narla Tata Rao<br/>Nuclear power is the <b>fifth-largest source of electricity in India</b> after coal, gas, hydroelectricity and wind power.<br/>Under Homi J. Bhabha&#39;s direction, India&#39;s nuclear energy programme was started around the time of independence.<br/><b>Tarapur Atomic Power Plant-1</b> is the <b>first</b> and the oldest Nuclear Power Station In India. ",https://abhigyanacademy.com/upload/gallery/1726556897.png
Kudankulam Nuclear Power Plant is located in_______,NA,C,Gujarat,Uttarakhand,Tamil Nadu,Madhya Pradesh,NA,NA,NA,NA,"The correct answer is <b><u>Tamil Nadu.<br/><br/>Kudankulam Nuclear Power Plant:</u></b><ul>It is the largest nuclear power plant in India.<br/>It is situated in the Tirunelveli district of <b>Tamil Nadu.</b><br/>It was built in collaboration with Atomstroyexport, the Russian state company, and Nuclear Power Corporation of India Limited <b>(NPCIL).</b><br/>It has a capacity of 6,000 MW of electricity.",NA
Which of the following is not a renewable source of energy?,NA,A,Nuclear energy,Hydropower,Biomass,Energy from waste,NA,NA,NA,NA,"<b>Non-renewable energy is fossil fuel energy, such as coal, crude oil, natural gas, and uranium (Nuclear energy).</b><br/>Unlike renewable energy, non-renewable energy requires human interference to make it suitable for use.<br/><b>Types of Non-renewable resources:</b><ul>Fuels which are formed by remains of animals and plants<br/>Divided into further three categories: Natural Gas, Oil, and Coal<br/><b>Thermal Electricity uses Coal for heat production and converts that heat into electricity.<br/>Nuclear fuels:</b> The use of fission-based nuclear energy requires naturally occurring radioactive material as a reactor.</ul><ul>Uranium is the most natural fission fuel and is found in the soil at extremely low concentrations and extracted in 19 countries.<br/>Nuclear power generates approximately 6 % of the world's oil and 13-14% of the world's electricity. <b>Hence, the correct answer is option 1.</ul><br/>Renewable energy</b> is also known as clean energy which is obtained from natural sources and can be replenished.<br/><b>Solar energy, wind energy, hydroelectric power, biomass energy, geothermal energy, energy from waste and tidal energy are examples of renewable sources of energy.</b>",NA
Identify the place from the following where an Atomic Power Station is located:,NA,C,Hirakud,Naharkatiya,Kakrapar,Tatipaka,NA,NA,NA,NA,<b>Kakrapar Atomic Power Station</b> is <b>located</b> in <b>Surat</b> in the state of <b>Gujarat.<br/>Kakrapar Atomic Power Station</b> is a <b>nuclear power station commissioned</b> on <b>6 May 1993.</b>,NA
The Dada Dhuniwale Thermal power plant is located in which state ?,NA,A,Madhya Pradesh,Punjab,Haryana,Himachal Pradesh,NA,NA,NA,NA,"The <b>Dada Dhuniwale Thermal Power Plant</b> is a proposed <b>coal-fired thermal power plant</b> in the <b>Khandwa district</b> of <b><u>Madhya Pradesh.</u></b><br/>The power plant is one of <b>Madhya Pradesh Power Generation Company Limited&#39;s coal-fired power facilities.</b><br/><b>Madhya Pradesh Power Generating Company and BHEL</b> proposed the project as a joint venture.<br/>It is expected to have a capacity of <b>1600 MW (2x800 MW).</b><br/>Due to a lack of coal linkage, the project has yet to begin.",NA
Kawas Thermal Power Station is located in which of the following states?,NA,A,Gujarat,Maharashtra,West Bengal,Rajasthan,NA,NA,NA,NA,"<b>Kawas Thermal Power Station is located in Surat district, in the state of Gujarat, India.</b><br/>It is managed and run by the <b>National Thermal Power Corporation (NTPC).</b><br/>The power plant consists of <b>gas-based combined cycle power units. It was one of the early gas-based power plants in India.</b><br/>The total installed capacity of <b>Kawas Thermal Power Station is around 645 MW.</b><br/>The <b>power plant plays a crucial role in supplying electricity to the state of Gujarat, supporting various industries and households.</b>",NA
