question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"A, B and C start at the same time in the same direction to run around a circular stadium. A completes a round in 252 seconds, B in 308 seconds and c in 198 seconds, all starting at the same point. After what time will they again at the starting point ?",NA,D,26 minutes and 18 seconds,42 minutes and 36 seconds,45 minutes,46 minutes and 12 seconds,NA,NA,NA,NA,"L.C.M. of 252, 308 and 198 = 2772. <br/>So, A, B and C will again meet at the starting point in 2772 sec. i.e., 46 min. 12 sec.",NA
The ratio of two numbers is 3 : 4 and their H.C.F. is 4. Their L.C.M. is:,NA,D,12,16,24,48,NA,NA,NA,NA,"Let the numbers be 3x and 4x. Then, their H.C.F. = x. So, x = 4. <br/>So, the numbers 12 and 16. <br/>L.C.M. of 12 and 16 = 48.",NA
"The smallest number which when diminished by 7, is divisible 12, 16, 18, 21 and 28 is:",NA,B,1008,1015,1022,1032,NA,NA,NA,NA,"Required number = (L.C.M. of 12,16, 18, 21, 28) + 7 <br/> = 1008 + 7 <br/> = 1015",NA
252 can be expressed as a product of primes as:,NA,A,2 x 2 x 3 x 3 x 7,2 x 2 x 2 x 3 x 7,3 x 3 x 3 x 3 x 7,2 x 3 x 3 x 3 x 7,NA,NA,NA,NA,"Clearly, 252 = 2 x 2 x 3 x 3 x 7.",NA
"The product of two numbers is 4107. If the H.C.F. of these numbers is 37, then the greater number is:",NA,C,101,107,111,185,NA,NA,NA,NA,"Let the numbers be 37a and 37b. <br/>Then, 37a x 37b = 4107 <br/> ab = 3. <br/>Now, co-primes with product 3 are (1,3). <br/>So, the required numbers are (37 x 1, 37 x 3) i.e., (37, 111). <br/> Greater number = 111",NA
"Find the greatest number that will divide 43, 91 and 183 so as to leave the same remainder in each case.",NA,A,4,7,9,13,NA,NA,NA,NA,"Given numbers are 43, 91, and 183. <br/>Subtract smallest number from both the highest numbers. <br/>We have three cases: <br/>183 > 43; 183 > 91 and 91 > 43 <br/>Therefore, 183 – 43 = 140 <br/>183 – 91 = 92 <br/>91 – 43 = 48 <br/>Now, we have three new numbers: 140, 48 and 92. <br/>HCF (140, 48 and 92) = 4 <br/>The highest number that divides 183, 91, and 43 and leaves the same remainder is 4.",NA
"Let N be the greatest number that will divide 1305, 4665 and 6905, leaving the same remainder in each case. Then sum of the digits in N is:",NA,A,4,5,6,8,NA,NA,NA,NA,"N = greatest number that will divide 105, 4665 and 6905 leaving the same remainder in each case <br/> N = H.C.F. of (4665 - 1305), (6905 - 4665) and (6905 - 1305) <br/> N = H.C.F. of 3360, 2240 and 5600 = 1120 <br/>Sum of digits in N = (1 + 1 + 2 + 0) = 4",NA
"The greatest number of four digits which is divisible by 15, 25, 40 and 75 is:",NA,C,9000,9400,9600,9800,NA,NA,NA,NA,"Greatest number of 4 digits is 9999. <br/>Now, 15=3×5 <br/>25 = 5×5 <br/>40 = 2×2×2×5 <br/>and 75 = 3×5×5 <br/><br/>L.C.M. of 15,25,40 and 75 is 2×2×2×3×5×5 = 600. <br/>On dividing 9999 by 600, the remainder is 399. <br/>Required number = (9999-399) = 9600.",NA
"The Greatest Common Divisor of 1.08, 0.36 and 0.9 is:",NA,C,0.03,0.9,0.18,0.108,NA,NA,NA,NA,"Given numbers are 1.08 , 0.36 and 0.90 <br/>G.C.D. i.e. H.C.F of 108, 36 and 90 is 18 <br/>Therefore, H.C.F of given numbers = 0.18",NA
The product of two numbers is 2028 and their H.C.F. is 13. The number of such pairs is:,NA,B,1,2,3,4,NA,NA,NA,NA,"Let the numbers 13a and 13b. <br/>Then, 13a x 13b = 2028 <br/> ab = 12. <br/>Two integers a and b are said to be coprime or relatively prime if they have no common positive factor other than 1 or, equivalently, if their greatest common divisor is 1. <br/>Now, the co-primes with product 12 are (1, 12) and (3, 4). <br/> The required numbers are (13 x 1, 13 x 12) and (13 x 3, 13 x 4).",NA
"The least multiple of 7, which leaves a remainder of 4, when divided by 6, 9, 15 and 18 is:",NA,D,74,94,184,364,NA,NA,NA,NA,"L.C.M. of 6, 9, 15 and 18 is 90. <br/>Let required number be 90k + 4, which is multiple of 7. <br/>Least value of k for which (90k + 4) is divisible by 7 is k = 4. <br/> Required number = (90 x 4) + 4 = 364.",NA
