question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which of the following rivers flows through a rift valley?,NA,C,Ganga,Brahmaputra,Narmada,Krishna,NA,NA,NA,NA,Narmada River flows through a rift valley.,NA
Which of the following is/are West flowing river(s) of India? <br/><br/>1. Mahanadi <br/>2. Krishna <br/>3. Narmada <br/>4. Kavery <br/><br/>Select the correct answer using the codes given below,NA,C,"1, 2 and 4",2 and 3,Only 3,1 and 3,NA,NA,NA,NA,"The Narmada is one of the most famous Rivers of India. It creates the conventional border between South India and North India. <br/><br/>The river runs to the west for a span of 1,312 km (815.2 miles) before flowing through the Gulf of Khambhat (Cambay) into the Arabian Sea, at a distance of 18.6 miles or 30 km west of the Bharuch city in Gujarat. <br/>Also known as Rewa. River in Central India. Similar to the Mahi River and the Tapti River, the Narmada River is a river flowing from east to west.",NA
Which of the following best explain why the lower course of a river is sometimes choked with sediments? <br/><br/>1. The valley of a river is widest in its lower course. <br/>2. The velocity of a river in its lower course is low. <br/>3. The delta sometimes develops in a river&#39;s lower course. <br/>4. Much of the river water is drawn for irrigation in the lower course. <br/><br/>Select the correct answer using the codes given below,NA,C,"1, 2, 3 and 4","1, 3 and 4","1, 2 and 3",2 and 4,NA,NA,NA,NA,The river is choked because the valley of a river is widest in its lower course and the velocity of a river in its lower course is low.,NA
Which of the following rivers flows from south to north?,NA,A,Son,Krishna,Mahanadi,Ganga,NA,NA,NA,NA,"The Son originates near Amarkantak in Madhya Pradesh, just east of the headwater of the Narmada River, and flows north-northwest through Madhya Pradesh state before turning sharply eastward where it encounters the southwest-northeast- running Kaimur Range. <br/><br/>The Son river at 784 kilometres (487 mi) long, is one of the largest rivers of India. Its chief tributaries are the Rihand and the North Koel.",NA
Which one of the following rivers in India has been declared as the National River?,NA,A,Ganga,Yamuna,Krishna,Son,NA,NA,NA,NA,"The Ganges is a trans-boundary river of India and Bangladesh. The 2,525 km (1,569 mi) river rises in the western Himalayas in the Indian state of Uttarakhand and flows south and east through the Gangetic Plain of North India into Bangladesh, where it empties into the Bay of Bengal. It is the third-largest river in the World by discharge.",NA
Which of the following rivers is not the tributary of Yamuna?,NA,D,Chambal,Betwa,Ken,Gandak,NA,NA,NA,NA,"Explanation: <br/>The river that is not a tributary of Yamuna is the Gandak River. <br/>Details: <br/>The following rivers are tributaries of Yamuna:<br/>- Chambal River: It originates from the Vindhya Range in Madhya Pradesh and flows through Rajasthan and Uttar Pradesh before joining the Yamuna River. <br/>- Betwa River: It is a major river in central India and flows through the states of Madhya Pradesh and Uttar Pradesh before merging with the Yamuna River. <br/>- Ken River: It is a tributary of the Yamuna River and flows through the states of Madhya Pradesh and Uttar Pradesh. <br/>However, the Gandak River is not a tributary of the Yamuna. It is a major river in Nepal and a left-bank tributary of the Ganges in India. It is also known as the Krishna Gandaki in Nepal. The Gandak River originates in the high Himalayas and flows through Nepal and the Indian states of Uttarakhand, Uttar Pradesh, and Bihar before joining the Ganges River.",NA
Which one of the following rivers of India does not make a delta?,NA,B,Ganga,Narmada,Mahanadi,Kaveri,NA,NA,NA,NA,"The Narmada, also called the Rewa, is a river in central India and the fifth-longest river in the Indian subcontinent. It is the third-longest river that flows entirely within India, after the Godavari and the Krishna.",NA
An important river of the Indian desert is?,NA,A,Luni,Narmada,Tapi,Jhelum,NA,NA,NA,NA,"The Luni is a river of western Rajasthan state, India. It originates in the Pushkar valley of the Aravalli Range, near Ajmer and ends in the marshy lands of Rann of Kutch in Gujarat, after travelling a distance of 495 km.",NA
Which river is not in existence at present?,NA,B,Tons,Saraswati,Ganga,Yamuna,NA,NA,NA,NA,"Saraswati River refers to a river that was a distributary of the Bhagirathi and is now no more there but was active till around the 16th century AD. <br/><br/>The course and condition of the Saraswati have played an important role in the development and decline of river port towns in Bengal. Initially, the major port town was Tamralipta, after its decline Saptagram rose and declined, and finally, Kolkata came up.",NA
Which of the major rivers of India does not form a delta?,NA,D,Cauvery,Godavari,Krishna,Narmada,NA,NA,NA,NA,"Conditions for delta formation by a river: <br/>The river must have a gentle gradient in its lower course <br/>The river must carry a large amount of sediments along with it. <br/>The coastal plains or area where the mouth of river lies should be wide. <br/><br/>Though Narmada originates far from the Western Ghats and empties into the Arabian Sea, the river flows through a rift valley at a steep gradient which increases its speed. Also, the western coastal plains are less wider than that required for delta formation by Narmada.",NA
