question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
A person crosses a 600 m long street in 5 minutes. What is his speed in km per hour?,NA,7.2,8.2,4.2,6.1,7.2,NA,NA,NA,NA,"To find the speed of the man in km per hour, we have to convert the given distance to km and also convert the given time to hour. <br/>First, let us see the conversion of the given distance into km. We know that 1km = 1000m.<br/>So, to convert 600m to km, we can write, 600m = x km.<br/>x = 600/1000 km  = 0.6km <br/><br/>Now, let us convert the given time into hours. We know that 1 hour = 60 minutes.<br/>So, to convert 5 minutes to hours, we can write, 5 minutes = y hours.<br/>y = 5/60 hrs = 0.083 hrs<br/><br/>Now we know that speed can be found out using the formula, <br/>Speed = Distance/Time<br/>  = 0.6/ 0.083<br/> = 6×1000 / 83 × 10<br/>  = 6000/ 830<br/> = 7.2 km/h <br/><br/>Therefore, we get the speed of the man crossing a 600m long street in 5 minutes as 7.2km/h.<br/>Hence, option (D) is the correct answer.",NA
"A man takes 5 hours 45 min in walking to a certain place and riding back. He would have gained 2 hours by riding both ways. The time he would take to walk both ways, is:",NA,7 hrs 45 min,11 hrs,8 hrs 45 min,7 hrs 45 min,9 hrs 20 min,NA,NA,NA,NA,"Let the distance be x km. Then, <br/>(Time taken to walls x km) + (Time taken to ride x km) = 23/4 hrs<br/>  (Time taken to walls 2x km) + Time taken to ride 2x km  =  23/2 hrs <br/> but time taken to ride 2x km = 15/4 hrs <br/>Therefore, Time taken to walk 2x km = (23/2 - 15/4) hrs = 31/4 hrs =7 hr 45 min.",NA
A man complete a journey in 10 hours. He travels first half of the journey at the rate of 21 km/hr and second half at the rate of 24 km/hr. Find the total journey in km.,NA,224 km,121 km,242 km,224 km,112 km,NA,NA,NA,NA,"Let time taken to travel the first half = x hr <br/>Time taken to travel the second half = (10 - x) hr <br/>since, Distance = Time * Speed <br/>Distance covered in the first half = 21x <br/>Distance covered in the second half = 24(10 - x) <br/> since, Distance covered in the the first half = Distance covered in the the second half <br/> 21x = 24(10 - x) <br/> 45x = 240 <br/> x = 16/3 <br/><br/>Total Distance = 2 * 21(16/3) = 224 Km [since multiplied by 2 as 21x was the distance of half way]",NA
A car traveling with 5/7 of its actual speed covers 42 km in 1 hr 40 min 48 sec. What is the actual speed of the car?,NA,35 km/hr,30 km/hr,35 km/hr,25 km/hr,40 km/hr,NA,NA,NA,NA,"Time taken = 1 hr 40 min 48 sec = 1 hr (40 + 4/5) min = 1 + 51/75 hrs = 126/75 hrs <br/>Let the actual speed be x km/hr <br/>Then, (5/7) * x * (126/75) = 42 <br/> x = 42 * 7 * (75 / 5) * 126 <br/> x = 35 km/hr",NA
"A friend is spotted by Lalloo at a distance of 200 m. When Lalloo starts to approach him, the friend also starts moving in the same direction as Lalloo. If the speed of his friend is 15 kmph, and that of Lalloo is 20 kmph, then how far will the friend have to walk before Lalloo meets him?",NA,600 m,6 km,0.6 m,600 m,900 m,NA,NA,NA,NA,"Lalloo is unfortunate that the friend is moving away from him. <br/><br/>(Because the friend moves in same direction as Lalloo). <br/>Relative speed= 20- 15= 5,kmph. distance= 200 m. <br/>Thus, Lalloo will meet his friend when he gains 200 m over him. <br/> => time required = distance / speed = 0.2/5 = 1/25 hrs <br/> =>Distance travelled by the friend in 1/25 hrs. (when Lalloo catches up him) <br/> => Time x Speed = 1/25 x 15 = 3/5 km = 600 m.",NA
"A and B walk around a circular track. A and B walk at a speed of 2 rounds per hour and 3 rounds per hour respectively. If they start at 8 a.m. from the same point in opposite directions, how many times shall they cross each other before 9.30 a.m.?",NA,7,5,6,7,8,NA,NA,NA,NA,"Relative speed = Speed of A + Speed of B = 2 + 3 = 5 rounds per hour <br/>(? they walk in opposite directions) <br/> => They cross each other 5 times in 1 hour and 2 times in 1/2 hour <br/> since, Time duration from 8 a.m. to 9.30 a.m. = 1.5 hour <br/> ?They cross each other 7 times before 9.30 a.m",NA
Two boys starts from the same place walking at the rate of 5 kmph and 5.5 kmph respectively in the same direction. What time will they take to be 8.5 km apart?,NA,17 hr,17 hr,14 hr,12 hr,19 hr,NA,NA,NA,NA,"In this type of question, we need to get the relative speed between them. <br/>The relative speed of the boys = 5.5 – 5 = 0.5 km/h <br/>The distance between them is 8.5 km. <br/>Time = Distance/Speed <br/>Time = 8.5/0.5 = 17 hrs",NA
"In covering a distance of 30 km, Arun takes 2 hours more than Anil. If Arun doubles his speed, then he would take 1 hour less than Anil. What is Arun's speed?",NA,5 kmph,8 kmph,5 kmph,4 kmph,7 kmph,NA,NA,NA,NA,"Let Anil takes x hrs. <br/> => Arun takes x+2 <br/>If Arun doubles the speed, he will take x-1 hrs <br/> =>He needs 3 hours less. <br/> since, Double speed means half time. ? Half of the time required by Arun to cover 30 km = 3 hours <br/> => Time required by Arun to cover 30 km = 6 hour <br/>Thus, Arun's speed = 30/6 = 5 km/h",NA
A car travels first 160 km at 64 km/hr and the next 160 km at 80 km/hr. What is the average speed for the first 320 km of the tour?,NA,71.11 km/hr,70.24 km/hr,74. 24 km/hr,71.11 km/hr,72.21 km/hr,NA,NA,NA,NA,Time taken = Distance/Speed <br/>Total time taken = (160/64) + (160/80) = 9/2 hrs <br/>Average Speed = Distance/Time <br/> Average speed = 320 / (9/2) = 320 x (2/9) = 71.11 km/hr.,NA
"A jeep travels a distance of 100 km at a uniform speed. If the speed of the jeep is 5 kmph more, then it takes 1 hour less to cover the same distance. The original speed of the jeep is:",NA,20 kmph,20 kmph,25 kmph,30 kmph,50 kmph,NA,NA,NA,NA,"The original speed of the jeep is 20 kmph. <br/>Let the original speed of the jeep be x kmph. <br/>Time taken to cover 100 km at original speed = 100/x hours. <br/>Time taken to cover 100 km at increased speed = 100/(x+5) hours. <br/>Given that the time taken to cover 100 km at increased speed is 1 hour less than the time taken to cover 100 km at original speed. <br/>Therefore, 100/x - 100/(x+5) = 1 <br/>Solving for x, we get x = 20. <br/>Hence, the original speed of the jeep is 20 kmph.",NA
