question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
If the magnification produced by a lens is +2 then the image is:,NA,C,"erect, virtual and smaller than the object.","inverted, real and smaller than the object.","erect, virtual and larger than the object.","inverted, real and larger than the object.",NA,NA,NA,NA,NA,NA
" At the time of short-circuit, the current in the circuit:",NA,A,reduces substantially.,does not change.,increases heavily.,keeps on fluctuating.,NA,NA,NA,NA,NA,NA
A boy completes one round of a circular track of diameter 200 m in 30 s. What will be the displacement at the end of 3 minutes and 45 seconds?,NA,A,50 m ,100m,200 m,236 m,NA,NA,NA,NA,NA,NA
What happens to the gravitational force between two objects if the mass of one object is doubled and the distance between them is also doubled?,NA,C,The force would remain the same,The force would be doubled,The force would be halved,The force would increase by a factor of 4,NA,NA,NA,NA,NA,NA
The number of moles of oxygen gas used in the complete combustion of 1 mole of glucose is:,NA,B,1,3,6,12,NA,NA,NA,NA,NA,NA
Methanoic acid is normally found in:,NA,A,muscles,urine,ant stings,human brain,NA,NA,NA,NA,NA,NA
"While burning hydrocarbon fuels, if we see a yellow flame with lots of black smoke, it means that the fuel is:",NA,D,made of saturated hydrocarbons.,made of unsaturated hydrocarbons.,burning completely.,wet.,NA,NA,NA,NA,NA,NA
Which one of the following statements is true when non-metals are dissolved in water?,NA,D,They produce basic oxides.,They produce acidic oxides.,They produce neutral oxides. ,They provide hydroxides.,NA,NA,NA,NA,NA,NA
Which one of the following States/Union Territories has the highest percentage of forest area to the total geographical area?,NA,A,Arunachal Pradesh,Lakshadweep ,Nagaland,Mizoram,NA,NA,NA,NA,NA,NA
"Yeast, which is used to make bread, belongs to the group:",NA,C,Protista, Fungi,Monera,Protozoa,NA,NA,NA,NA,NA,NA
Which one of the following is the first urban settlement in the world to reach a population size of one million (million-plus city)?,NA,C,London,Paris ,New York,Washington D.C.,NA,NA,NA,NA,NA,NA
Where are the Bermuda Islands located?,NA,B,Caribbean Sea,North Atlantic Ocean,Gulf of Mexico,Mediterranean Sea,NA,NA,NA,NA,NA,NA
Who among the following formulated the concept of poverty development subcontinent? as a measurable indicator in the Indian,NA,A,Dadabhai Naoroji,Romesh Chandra Dutt,V.K.R.V. Rao,M. Ranade,NA,NA,NA,NA,NA,NA
Which one of the following items is not covered under GST?,NA,B,Cosmetics,Medical grade oxygen ,Jewellery,Petrol,NA,NA,NA,NA,NA,NA
Which one of the following best describes BRICS?,NA,D,A group of five nuclear powers,A group of five industrialized nations,A group of five major emerging economies,A group of five potentially strong UN Security Council members from the Countries of the Global South,NA,NA,NA,NA,NA,NA
In which one of the following years was the first telegraphic connection established between Europe and India?,NA,A,1851,1854,1865,1871,NA,NA,NA,NA,NA,NA
Which one of the following statements with regard to the Election Commission is <b>not</b> correct?,NA,C,It conducts elections to the office of the Vice President of India.,An Election Commissioner can be removed from his office without the recommendation of the Chief Election Commissioner,Election Commissioners are appointed by the President of India.,"Governor of a State is constitutionally bound to provide support staff to the Election Commission, if required.",NA,NA,NA,NA,NA,NA
"According to the Constitution of India, which one of the following statements is not correct?",NA,C,The executive powers of the Union shall be vested in the President of India.,"Parliament, by law, can confer functions on authorities other than the President of India.",The President of India is elected by an electoral college consisting of all Members of Parliament and all Members of all State Legislatures.,"A person, having held office as the President, shall be eligible for election to that office for the second term.",NA,NA,NA,NA,NA,NA
Which one of the following Articles of the Constitution of India requires the Prime Minister of India to furnish information related to decisions of the Council of Ministers to the President of India?,NA,C,Article 78,Article 74,Article 75,Article 81,NA,NA,NA,NA,NA,NA
Which one of the following statements is not correct?,NA,,All executive actions of the Government of India are taken in the name of the President of India,The President of India appoints a person as Attorney General of India provided she/he is qualified to be a Judge of the Supreme Court or a High Court.,The total number of Ministers in the Council of Ministers cannot exceed ten percent of the total number of members of the House of People.,The President of India is bound to act as per the advice tendered by the Council of Ministers.,NA,NA,NA,NA,NA,NA
